user,activity,timestamp,x,y,z
29,Sitting,0,0.947721667489646,2.73690024653151,8.883173156181629
11,Upstairs,50,-0.24829436054553677,3.158425631014783,10.56743472915291
22,Upstairs,100,-1.16175626804703,-1.0503396143562955,9.228619834245858
22,Upstairs,150,-1.8481656754942097,-3.4498356650260655,9.237712470759028
28,Standing,200,-1.4066876034148146,-4.279241312152479,9.17052503907575
3,Upstairs,250,1.1954409338252165,-2.3019871548446056,10.175698018345672
18,Standing,300,0.1902515686342729,1.329308685499704,9.659781502642993
2,Standing,350,-0.06638680013308977,1.5583852690300093,8.698902243650167
8,Sitting,400,-0.45890090766391306,0.7786978265122465,8.534880886077358
6,Downstairs,450,2.1839845287153423,-2.656372097796861,9.996861235869124
18,Jogging,500,-4.356668493647417,-2.08779281646967,9.972693706525513
15,Downstairs,550,0.6483975351054635,-2.0181706857302153,8.216705786463113
18,Upstairs,600,0.9216326002972752,0.17184694326162908,8.290042717783392
29,Upstairs,650,1.4430049247172914,-1.3538440006119175,10.41167628884087
24,Sitting,700,1.2726102166903406,-1.8134413371598597,10.276042587426973
28,Walking,750,2.607322536797168,-3.0163065790949655,10.89964697578482
23,Downstairs,800,2.3594326894014017,-1.7964158789113565,10.634795419230429
1,Sitting,850,0.5931227686579414,0.7232720500952683,9.154880245394876
1,Upstairs,900,2.9908685057669473,0.6763625039866394,13.172296253626673
15,Jogging,950,-1.8407816101347516,0.17409413647634245,9.500992649534133
32,Standing,1000,-0.43934377567502386,0.7142251430234928,11.277894044741517
13,Sitting,1050,-1.0365404365472948,1.4099626226654416,10.160923377591136
6,Standing,1100,-1.0595204075340776,1.0265348662267122,9.89707754934804
28,Walking,1150,1.9372899810657784,-1.4041061877547047,9.472337853402232
27,Downstairs,1200,-1.7406099091221479,-1.0132864392630476,8.490049312787527
33,Sitting,1250,5.887326832962568,-1.8139744508097608,8.98264584487717
32,Walking,1300,-1.3254766267564269,-0.29294561348323245,8.953982983544295
2,Sitting,1350,-1.6449787375601248,-2.145063668871315,8.80741382059681
17,Sitting,1400,0.12046041988205287,4.926484224970572,9.607639035218877
2,Upstairs,1450,0.6030946846672249,0.6796419283732875,9.792619850055427
32,Standing,1500,-0.4286489665123859,-1.3783884209284902,10.527833114165867
5,Standing,1550,-1.23813872070992,-0.09080531057367283,10.016936726162344
16,Walking,1600,0.05619892669640345,-2.3941741266766057,10.589672804750673
19,Jogging,1650,0.8629789265260839,-3.1013268621322654,9.868562974806029
32,Standing,1700,-0.28692445926137866,1.2340075514302602,11.048940699139912
11,Standing,1750,0.13129831622244958,-1.6751627835262284,10.4771860655821
31,Downstairs,1800,-2.0554217281769778,1.482481270090436,8.089470421474969
1,Downstairs,1850,0.2379569837919706,-2.880082895367596,10.99072725611364
